coin,exchange,time,open,high,low,close,volumeto,RSI,MFI,UPPERBAND,MIDDLEBAND,LOWERBAND,Accumulation/Distribution Oscillator,Accumulation/Distribution Line (AD)
DTB,Bittrex,2018-02-25 05:30:00,6.42e-05,6.7e-05,6.3e-05,6.670000000000001e-05,1.05,42.02402835494393,0.0,6.978999999999997e-05,6.978999999999997e-05,6.978999999999997e-05,0.021072854484955883,-112.82455767278131
DTB,Bittrex,2018-02-26 05:30:00,6.670000000000001e-05,7.099999999999999e-05,6.51e-05,6.57e-05,6.07,41.02620197436567,0.0,6.935999999999996e-05,6.935999999999996e-05,6.935999999999996e-05,-1.44364264861089,-117.65998140159486
DTB,Bittrex,2018-02-27 05:30:00,6.57e-05,6.759999999999999e-05,6.35e-05,6.35e-05,1.97,38.8411739438751,0.0,6.858499999999995e-05,6.858499999999995e-05,6.858499999999995e-05,-2.538422386367273,-119.62998140159486
DTB,Bittrex,2018-02-28 05:30:00,6.35e-05,6.6e-05,6.02e-05,6.24e-05,2.63,37.758336562612335,0.0,6.760499999999996e-05,6.760499999999996e-05,6.760499999999996e-05,-2.9575117486637055,-120.26480898780176
DTB,Bittrex,2018-03-01 05:30:00,6.24e-05,7.780000000000001e-05,6.0299999999999995e-05,7.509999999999998e-05,4.67,53.779697236395386,0.0,6.745999999999995e-05,6.745999999999995e-05,6.745999999999995e-05,-1.8326926924519285,-117.03583755923034
DTB,Bittrex,2018-03-02 05:30:00,7.509999999999998e-05,9.05e-05,7.509999999999998e-05,8.73e-05,20.2,63.499506381503146,0.0,6.812999999999996e-05,6.812999999999996e-05,6.812999999999996e-05,2.5502673315105113,-105.23064275403556
DTB,Bittrex,2018-03-03 05:30:00,8.73e-05,9.549999999999999e-05,8.14e-05,8.94e-05,8.92,64.86899877999187,0.0,6.877999999999998e-05,6.877999999999998e-05,6.877999999999998e-05,4.4939039797768885,-104.0286569384327
DTB,Bittrex,2018-03-04 05:30:00,8.94e-05,9.1e-05,8.499999999999999e-05,8.57e-05,2.28,60.55779960508456,0.0,6.924999999999996e-05,6.924999999999996e-05,6.924999999999996e-05,4.32430951954251,-105.77665693843271
DTB,Bittrex,2018-03-05 05:30:00,8.57e-05,9.4e-05,8.2e-05,9.04e-05,5.06,63.84488826340415,0.0,7.011999999999997e-05,7.011999999999997e-05,7.011999999999997e-05,4.505810920397295,-103.75265693843271
DTB,Bittrex,2018-03-06 05:30:00,9.04e-05,9.25e-05,8.6e-05,8.66e-05,4.75,59.52548597171787,0.0,7.090999999999997e-05,7.090999999999997e-05,7.090999999999997e-05,2.9380996615500266,-107.62573386150963
DTB,Bittrex,2018-03-07 05:30:00,8.66e-05,8.950000000000001e-05,7.929999999999999e-05,8e-05,4.49,52.839010968187075,0.0,7.155999999999997e-05,7.155999999999997e-05,7.155999999999997e-05,0.7971142486364755,-111.4994593517057
DTB,Bittrex,2018-03-08 05:30:00,8e-05,8.09e-05,7.099999999999999e-05,7.44e-05,6.78,47.92038961424181,0.0,7.201999999999998e-05,7.201999999999998e-05,7.201999999999998e-05,-0.8267179938501954,-113.62248965473599
DTB,Bittrex,2018-03-09 05:30:00,7.44e-05,8.04e-05,6.47e-05,7.4e-05,9.05,47.579693641453055,0.0,7.247999999999997e-05,7.247999999999997e-05,7.247999999999997e-05,-0.8839662592134658,-111.95083360378058
DTB,Bittrex,2018-03-10 05:30:00,7.4e-05,7.4e-05,7.099999999999999e-05,7.099999999999999e-05,2.56,44.99585654107038,0.0,7.282499999999997e-05,7.282499999999997e-05,7.282499999999997e-05,-1.6415708896608692,-114.51083360378058
DTB,Bittrex,2018-03-11 05:30:00,7.099999999999999e-05,7.28e-05,6.43e-05,6.720000000000001e-05,3.81,41.892532479155186,0.0,7.297499999999997e-05,7.297499999999997e-05,7.297499999999997e-05,-2.187341205730334,-115.72106889789822
