,coin,exchange,unix_timestamp,close,bid_amount_btc_total,ask_amount_btc_total
0,XWC,Bittrex,1527897600,1.62e-05,9.184670868857747,3.5576007856445213
0,XDN,Bittrex,1527897600,1.3e-06,9.233889203326033,12.018250108351182
0,EMC2,Bittrex,1527897600,2.48e-05,5.199694701432974,5.9355170988576145
0,THC,Bittrex,1527897600,8.96e-06,6.1854084211506635,4.4045860647774875
0,VTR,Bittrex,1527897600,4.6500000000000005e-05,5.1400741031748565,0.2430716528391451
0,CURE,Bittrex,1527897600,3.34e-05,1.7350387608274196,3.0039803067336033
0,ENRG,Bittrex,1527897600,8.17e-06,1.011338811200643,1.1636947469036962
0,KORE,Bittrex,1527897600,0.00033510000000000007,5.693836138311789,2.8654166810914203
0,PINK,Bittrex,1527897600,2.42e-06,2.7692853109739284,1.0434031477071917
0,RBY,Bittrex,1527897600,5.4600000000000006e-05,1.5557642970692183,1.8474241297936376
0,RDD,Bittrex,1527897600,8.4e-07,82.54761944022374,107.25380394192182
0,ABY,Bittrex,1527897600,8.2e-07,2.2843322720465933,3.8810073916932466
0,BAY,Bittrex,1527897600,5.3e-06,7.138898765247596,6.721961680320574
0,BLOCK,Bittrex,1527897600,0.003293,14.54585972919215,32.24086161157627
0,CLOAK,Binance,1527897600,0.001108,3.4099962720000003,5.010659466000002
0,CLOAK,Bittrex,1527897600,0.001112,3.5377259295420123,5.093172704456689
0,DOPE,Bittrex,1527897600,3.8e-06,2.548659437771071,2.2398807163117813
0,FTC,Bittrex,1527897600,1.6100000000000002e-05,2.025019995116555,0.627188321116188
0,IOC,Bittrex,1527897600,0.00011619999999999999,2.9952207944021416,3.0342691402095063
0,MONA,Bittrex,1527897600,0.00044269999999999997,10.460249437580709,5.306395569491883
0,SYS,Binance,1527897600,4.6200000000000005e-05,7.700196640000003,7.056180659999999
0,SYS,Bittrex,1527897600,4.5799999999999995e-05,10.325573013742959,6.864750127034167
0,VRC,Bittrex,1527897600,5.920000000000001e-05,3.178628957614095,3.1399642470139324
0,XLM,Binance,1527897600,3.8799999999999994e-05,21.386098010000005,23.87214279000002
0,XLM,Bittrex,1527897600,3.8900000000000004e-05,23.38615764169736,11.559179193256806
0,XMG,Bittrex,1527897600,3.3e-05,0.9879615837588291,0.9497795473229216
0,XMY,Bittrex,1527897600,7.8e-07,4.261474693503081,3.5643153428882375
0,BLK,Bittrex,1527897600,2.75e-05,4.936888505344017,3.7443203840559787
0,BURST,Bittrex,1527897600,3.64e-06,19.436670713850063,22.13220575885225
0,BYC,Bittrex,1527897600,7.32e-05,2.186826817769967,0.9621557329325146
0,CANN,Bittrex,1527897600,4.68e-06,2.6658702516108583,2.2940192877199848
0,DGB,Bittrex,1527897600,4.53e-06,71.61245226722406,139.2195130713096
0,DGB,Kucoin,1527897600,4.49e-06,0.29275594946,0.476178364155
0,DOGE,Bittrex,1527897600,4.5e-07,124.11994032190076,166.74745473058914
0,EFL,Bittrex,1527897600,1.31e-05,6.631245243855445,1.2257012253536976
0,EXCL,Bittrex,1527897600,0.00010190000000000001,1.3473622074469958,1.7230748807910037
0,LTC,Binance,1527897600,0.01594,18.123085540000005,32.65131857000001
0,LTC,Bittrex,1527897600,0.016,22.057063266641993,15.644616336162949
0,LTC,Kucoin,1527897600,0.01592,0.8691143321478801,0.68821078984088
0,NAV,Binance,1527897600,0.0001276,14.338520035000005,20.12283147400001
0,NAV,Bittrex,1527897600,0.0001268,5.776278527463277,10.028207579083457
0,NEOS,Bittrex,1527897600,0.000302,6.178614527877566,1.5277633176719976
0,NLG,Bittrex,1527897600,1.1599999999999999e-05,7.181472698887069,5.350875001324356
0,NXT,Bittrex,1527897600,1.77e-05,12.935971574034646,9.287208423442562
0,POT,Bittrex,1527897600,1.17e-05,2.890230081203272,2.9206669531887255
0,PTC,Bittrex,1527897600,3.93e-06,1.5315736848767671,0.44334072761107185
0,SLR,Bittrex,1527897600,3.6e-05,2.0538140936617113,2.2240877121611042
0,SPR,Bittrex,1527897600,4.3700000000000005e-05,1.8265157927252296,0.6590326824164527
0,SWIFT,Bittrex,1527897600,7.35e-05,1.03627572984556,0.46382099449179925
0,TRUST,Bittrex,1527897600,8.11e-06,0.5501796748087394,0.3712583521486651
0,VIA,Binance,1527897600,0.00021360000000000001,7.472614129999999,4.853432676999998
0,VIA,Bittrex,1527897600,0.0002144,11.109292247954215,7.590223227699176
0,VTC,Bittrex,1527897600,0.0002292,10.425392007386993,7.10364913165252
0,XMR,Binance,1527897600,0.02109,12.119731043000003,7.981430860999998
0,XMR,Bittrex,1527897600,0.02101,37.63058112927451,24.473776528304278
0,XRP,Binance,1527897600,8.27e-05,27.707426819999995,106.85107121000004
0,XRP,Bittrex,1527897600,8.28e-05,30.569956886593985,90.16011074639462
0,XST,Bittrex,1527897600,3.47e-05,1.8051604533525107,0.3548650520833358
0,XCP,Bittrex,1527897600,0.00162,9.877627423615289,9.152671352470223
0,BITB,Bittrex,1527897600,8.9e-07,4.282425698680615,14.305891958823082
0,GEO,Bittrex,1527897600,0.00018790000000000001,2.527078469304692,1.5698165158110233
0,FLDC,Bittrex,1527897600,1.62e-06,1.0133303325959075,1.7983283667442937
0,GRC,Bittrex,1527897600,4.81e-06,3.0207220261483076,2.2464114703831055
0,FLO,Bittrex,1527897600,1.1599999999999999e-05,5.445411684738006,2.931937549184707
0,DASH,Binance,1527897600,0.04142,11.429966717000001,9.213031825000002
0,DASH,Bittrex,1527897600,0.0413,21.32683532259704,22.99600571221421
