exchange,coin,time,open,high,low,close,volumeto
Binance,STRAT,2017-09-28 05:30:00,0.001131,0.001217,0.001115,0.001142,216.48
Binance,STRAT,2017-09-29 05:30:00,0.001142,0.001166,0.001059,0.001074,121.36
Binance,STRAT,2017-09-30 05:30:00,0.001074,0.001166,0.001007,0.0010220000000000001,195.03
Binance,STRAT,2017-10-01 05:30:00,0.0010220000000000001,0.00105,0.000923,0.0009429999999999999,183.38
Binance,STRAT,2017-10-02 05:30:00,0.0009429999999999999,0.001001,0.000865,0.0008869999999999999,177.06
Binance,STRAT,2017-10-03 05:30:00,0.0008869999999999999,0.000984,0.00075,0.000886,225.24
Binance,STRAT,2017-10-04 05:30:00,0.000886,0.0009480000000000001,0.000833,0.0008619999999999999,224.25
Binance,STRAT,2017-10-05 05:30:00,0.0008619999999999999,0.000872,0.000805,0.000822,194.3
Binance,STRAT,2017-10-06 05:30:00,0.000822,0.0008789999999999999,0.000822,0.0008470000000000001,197.71
Binance,STRAT,2017-10-07 05:30:00,0.0008470000000000001,0.000944,0.0008119999999999999,0.000877,228.52
Binance,STRAT,2017-10-08 05:30:00,0.000877,0.00098,0.000734,0.0007610000000000001,219.59
Binance,STRAT,2017-10-09 05:30:00,0.0007610000000000001,0.000813,0.000651,0.0007030000000000001,151.99
Binance,STRAT,2017-10-10 05:30:00,0.0007030000000000001,0.0007440000000000001,0.000678,0.0007160000000000001,160.08
Binance,STRAT,2017-10-11 05:30:00,0.0007160000000000001,0.0007639999999999999,0.000696,0.000731,179.17
Binance,STRAT,2017-10-12 05:30:00,0.000731,0.000734,0.000576,0.000579,103.87
Binance,STRAT,2017-10-13 05:30:00,0.000579,0.000595,0.000524,0.000554,199.72
Binance,STRAT,2017-10-14 05:30:00,0.000554,0.0005650000000000001,0.0001,0.000489,409.47
Binance,STRAT,2017-10-15 05:30:00,0.000489,0.000563,0.00048600000000000005,0.00053,435.89
Binance,STRAT,2017-10-16 05:30:00,0.00053,0.0005549999999999999,0.0004969999999999999,0.000518,410.17
Binance,STRAT,2017-10-17 05:30:00,0.000518,0.000551,0.0004969999999999999,0.000549,425.71
Binance,STRAT,2017-10-18 05:30:00,0.000549,0.000641,0.000525,0.000571,539.58
Binance,STRAT,2017-10-19 05:30:00,0.000571,0.0006,0.00053,0.000542,450.78
Binance,STRAT,2017-10-20 05:30:00,0.000542,0.000593,0.000475,0.000496,443.35
Binance,STRAT,2017-10-21 05:30:00,0.000496,0.000541,0.000436,0.000499,332.81
Binance,STRAT,2017-10-22 05:30:00,0.000499,0.000584,0.000482,0.000529,443.27
Binance,STRAT,2017-10-23 05:30:00,0.000529,0.000667,0.000516,0.0005769999999999999,574.1
Binance,STRAT,2017-10-24 05:30:00,0.0005769999999999999,0.0007379999999999999,0.000554,0.000735,643.24
Binance,STRAT,2017-10-25 05:30:00,0.000735,0.0008880000000000001,0.000692,0.000869,608.16
Binance,STRAT,2017-10-26 05:30:00,0.000869,0.000875,0.000663,0.0007440000000000001,774.3
Binance,STRAT,2017-10-27 05:30:00,0.0007440000000000001,0.000834,0.000705,0.000759,631.08
Binance,STRAT,2017-10-28 05:30:00,0.000759,0.000825,0.00073,0.0007509999999999999,556.02
Binance,STRAT,2017-10-29 05:30:00,0.0007509999999999999,0.000781,0.000634,0.000656,541.74
Binance,STRAT,2017-10-30 05:30:00,0.000656,0.000743,0.000606,0.000621,563.98
Binance,STRAT,2017-10-31 05:30:00,0.000621,0.000621,0.0005,0.000522,448.64
Binance,STRAT,2017-11-01 05:30:00,0.000522,0.00053,0.000452,0.000452,352.14
Binance,STRAT,2017-11-02 05:30:00,0.000452,0.00046699999999999997,0.000337,0.000411,342.38
Binance,STRAT,2017-11-03 05:30:00,0.000411,0.000466,0.000371,0.000442,337.67
Binance,STRAT,2017-11-04 05:30:00,0.000442,0.00046399999999999995,0.000396,0.00040599999999999995,368.7
Binance,STRAT,2017-11-05 05:30:00,0.00040599999999999995,0.000426,0.00037799999999999997,0.000413,305.83
