,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
68,331.42576787,0.0038412246496133005,1.159e-05,EVR,Cryptopia,1527571551660
69,600.0,0.0069960000000000005,1.166e-05,EVR,Cryptopia,1527571551660
70,857.41060824,0.0100059817981608,1.167e-05,EVR,Cryptopia,1527571551660
71,1000.0,0.01176,1.176e-05,EVR,Cryptopia,1527571551660
72,882.94590512,0.0104540795166208,1.184e-05,EVR,Cryptopia,1527571551660
73,324.18776166,0.003841624975671,1.185e-05,EVR,Cryptopia,1527571551660
74,2000.0,0.023799999999999998,1.19e-05,EVR,Cryptopia,1527571551660
75,3570.0,0.042661500000000005,1.195e-05,EVR,Cryptopia,1527571551660
76,75.0,0.00089775,1.197e-05,EVR,Cryptopia,1527571551660
77,1050.0,0.0125895,1.199e-05,EVR,Cryptopia,1527571551660
78,9024.70008327,0.10829640099924,1.2e-05,EVR,Cryptopia,1527571551660
79,347.10183269,0.0041756350472607,1.203e-05,EVR,Cryptopia,1527571551660
80,944.0,0.0114224,1.21e-05,EVR,Cryptopia,1527571551660
81,5000.0,0.061,1.22e-05,EVR,Cryptopia,1527571551660
82,12171.67423297,0.1486161423845637,1.221e-05,EVR,Cryptopia,1527571551660
83,15650.0,0.191243,1.222e-05,EVR,Cryptopia,1527571551660
84,1343.50453218,0.0164982356551704,1.228e-05,EVR,Cryptopia,1527571551660
85,448.04869335,0.005533401362872501,1.235e-05,EVR,Cryptopia,1527571551660
86,534.2046783,0.006624138010919999,1.24e-05,EVR,Cryptopia,1527571551660
87,3766.30057857,0.0467774531858394,1.242e-05,EVR,Cryptopia,1527571551660
88,1249.20540934,0.0155650994003764,1.246e-05,EVR,Cryptopia,1527571551660
89,1461.52621108,0.0182690776385,1.25e-05,EVR,Cryptopia,1527571551660
90,159.71409137,0.0020044118466935002,1.255e-05,EVR,Cryptopia,1527571551660
91,1139.61531482,0.014461718345065802,1.269e-05,EVR,Cryptopia,1527571551660
92,847.92182839,0.010777086438836899,1.271e-05,EVR,Cryptopia,1527571551660
93,569.64685094,0.007245907943956801,1.272e-05,EVR,Cryptopia,1527571551660
94,341.16166604,0.0043429880086892,1.273e-05,EVR,Cryptopia,1527571551660
95,1300.0,0.016575,1.275e-05,EVR,Cryptopia,1527571551660
96,143.92700636,0.001842265681408,1.28e-05,EVR,Cryptopia,1527571551660
97,121.19239781,0.0015548984639023001,1.283e-05,EVR,Cryptopia,1527571551660
98,100.0,0.001291,1.291e-05,EVR,Cryptopia,1527571551660
99,10043.2495166,0.130361378725468,1.298e-05,EVR,Cryptopia,1527571551660
