,bid_amount,bid_amount_btc,bid_price,coin_x,exchange_x,timestamp_x,ask_amount,ask_amount_btc,ask_price
83,,,,,,,1.88619931,0.0005846840621138,0.00030998
84,,,,,,,23.70479802,0.0073584434013683996,0.00031042
85,,,,,,,3.14140249,0.000978546875635,0.0003115
86,,,,,,,5.54333749,0.0017321820988752,0.00031248
87,,,,,,,5.68310473,0.0017773910043075,0.00031275
88,,,,,,,20.0,0.006256,0.0003128
89,,,,,,,67.0,0.02104738,0.00031414
90,,,,,,,10.57628134,0.0033244425136021998,0.00031433
91,,,,,,,20.41808306,0.0064182202290804,0.00031434
92,,,,,,,18.79146398,0.0059168682633826,0.00031487
93,,,,,,,3.6358623,0.0011462419486979998,0.00031526
94,,,,,,,11.10410562,0.0035036784462786,0.00031553
95,,,,,,,167.0,0.05271188,0.00031564
96,,,,,,,167.0,0.05285049,0.00031647
97,,,,,,,167.0,0.05285884,0.00031652
98,,,,,,,3.44137931,0.0010944274481662,0.00031802
99,,,,,,,170.9646229,0.05440094300677999,0.0003182
