id,bid_amount,bid_amount_btc,bid_price,ask_amount,ask_amount_btc,ask_price,coin,exchange,timestamp
1,267.747588,0.0043401884014799995,1.621e-05,2116.45545294,0.034773363091804205,1.643e-05,XWC,Bittrex,1527917853695
2,1407.96898889,0.022809097620018003,1.62e-05,7645.3699987,0.125689882778628,1.644e-05,XWC,Bittrex,1527917853695
3,85.4720105,0.0013837918499949998,1.619e-05,5892.94689628,0.1003568856436484,1.703e-05,XWC,Bittrex,1527917853695
4,618.73134016,0.0099863238301824,1.614e-05,597.7286312,0.010352659892384,1.732e-05,XWC,Bittrex,1527917853695
5,1500.0,0.024165,1.611e-05,3059.25771486,0.053598195164347204,1.752e-05,XWC,Bittrex,1527917853695
6,1293.57,0.020748862799999997,1.604e-05,4431.20363359,0.0777676237695045,1.755e-05,XWC,Bittrex,1527917853695
7,1765.0,0.02829295,1.603e-05,3023.61077179,0.0531550773680682,1.758e-05,XWC,Bittrex,1527917853695
8,62.3051989,0.000997506234389,1.601e-05,2159.14528338,0.03819528006299219,1.769e-05,XWC,Bittrex,1527917853695
9,26015.72458799,0.41625159340783996,1.6e-05,62.62881608,0.0011097826209376,1.772e-05,XWC,Bittrex,1527917853695
10,395.8958349,0.006330374400051001,1.599e-05,50.0,0.000887,1.774e-05,XWC,Bittrex,1527917853695
11,2500.0,0.039375,1.575e-05,1079.21907747,0.0191777230066419,1.777e-05,XWC,Bittrex,1527917853695
12,63.81957774,0.0009975000000762,1.563e-05,12082.2942643,0.215668952617755,1.785e-05,XWC,Bittrex,1527917853695
13,1923.08948479,0.029980965067876102,1.559e-05,7609.56769184,0.13590687897626239,1.786e-05,XWC,Bittrex,1527917853695
14,1000.0,0.01554,1.554e-05,6.87761244,0.000123109262676,1.79e-05,XWC,Bittrex,1527917853695
15,1000.0,0.01545,1.545e-05,493.17943276,0.008872297995352399,1.799e-05,XWC,Bittrex,1527917853695
16,3361.34477319,0.051697482611662196,1.538e-05,4531.86770664,0.08157361871952,1.8e-05,XWC,Bittrex,1527917853695
17,20000.0,0.3072,1.536e-05,33.21912351,0.0006006017530608,1.808e-05,XWC,Bittrex,1527917853695
18,12500.0,0.190625,1.525e-05,560.0,0.01022,1.825e-05,XWC,Bittrex,1527917853695
19,53.0,0.0008029500000000001,1.515e-05,1098.3,0.02009889,1.83e-05,XWC,Bittrex,1527917853695
20,2659.72222222,0.040214999999966396,1.512e-05,5000.0,0.092,1.84e-05,XWC,Bittrex,1527917853695
21,1376.12221707,0.0207932066999277,1.511e-05,2525.11583333,0.0466893917582717,1.849e-05,XWC,Bittrex,1527917853695
22,1500.0,0.022635,1.509e-05,50.0,0.0009249999999999999,1.85e-05,XWC,Bittrex,1527917853695
23,20000.0,0.3012,1.506e-05,539.21536287,0.010002444981238501,1.855e-05,XWC,Bittrex,1527917853695
24,1500.0,0.02253,1.502e-05,65.72047116,0.0012230579682876,1.861e-05,XWC,Bittrex,1527917853695
25,197520.53502723,2.9628080254084503,1.5e-05,191.24221519,0.0035934412234201003,1.879e-05,XWC,Bittrex,1527917853695
